"","stateCode","state","number"
"1","AL","ALABAMA",440
"2","AS","AMERICAN SAMOA",93
"3","CT","CONNECTICUT",2117
"4","DC","DISTRICT OF COLUMBIA",90
"5","DE","DELAWARE",327
"6","FL","FLORIDA",11030
"7","GA","GEORGIA",2710
"8","HI","HAWAII",66
"9","LA","LOUISIANA",1656
"10","MA","MASSACHUSETTS",1630
"11","MD","MARYLAND",1671
"12","ME","MAINE",238
"13","MS","MISSISSIPPI",903
"14","NC","NORTH CAROLINA",6188
"15","NH","NEW HAMPSHIRE",774
"16","NJ","NEW JERSEY",9717
"17","NY","NEW YORK",13295
"18","OH","OHIO",162
"19","PA","PENNSYLVANIA",2022
"20","PR","PUERTO RICO",7785
"21","RI","RHODE ISLAND",504
"22","SC","SOUTH CAROLINA",1808
"23","TX","TEXAS",7131
"24","VA","VIRGINIA",1973
"25","VI","VIRGIN ISLANDS OF THE U.S.",1293
"26","VT","VERMONT",3278
"27","WV","WEST VIRGINIA",291
